Reaction_ID	Reaction_Names	Confidence_Score	References	Notes
R2688	Na+/K+ exchanging ATPase	4	"PMID:10456317,PMID:8833915,PMID:9159180"	"AMF TDV (8/25/2005, stoichiometry changed)"
R2692	sodium/ammonium proton antiporter	4	"PMID:10444453,PMID:12845533,PMID:2536298,PMID:2581505,PMID:7631746,PMID:8199403,PMID:8595899"	NCD
R2697	Na+/Ca2+-K+ exchange	4	"PMID:10484410,PMID:10662833,PMID:11294880,PMID:12379639,PMID:14770312,PMID:9478004"	NCD
R2767	carnitine O-palmitoyltransferase	4		NJ
R2841	Ornithine Decarboxylase	4	PMID:2317811	JLR- added proton to balance
R2891	"cytochrome P450, family 7, subfamily A, polypeptide 1"	4		
R2905	Platelet-activating factor acetylhydrolase	4	"PMID:7669037,PMID:8028668,PMID:8955149"	NJ
R2906	Platelet-activating factor acetylhydrolase	4	PMID:8675689	NJ
R2918	choline phosphatase	4	"PMID:9395408,PMID:9582313"	NJ
R2919	choline phosphatase	4	"PMID:11481335,PMID:8530346"	NJ
R2920	choline phosphatase	4	"PMID:11481335,PMID:8530346"	NJ
R2921	choline phosphatase	4	"PMID:11481335,PMID:8530346"	NJ
R2928	phosphatidylcholine transporter	4	"PMID:11826283,PMID:7912658"	for PC secretion into bile NJ
R2929	"3',5'-cyclic-nucleotide phosphodiesterase"	4	"PMID:10725373,PMID:10872825,PMID:10906126,PMID:10952971,PMID:11050148,PMID:11114167,PMID:12038792,PMID:12135876,PMID:12154085,PMID:12388353,PMID:12681444,PMID:12764607,PMID:14604994,PMID:15147193,PMID:15272012,PMID:15480303,PMID:8884271,PMID:9210593,PMID:9419816"	NCD
R2942	phosphatidylethanolamine flippase	4	"PMID:10198212,PMID:10856717,PMID:11353404"	See PMID: 10856717 - flippase activity NJ
R2943	phosphatidylethanolamine flippase	4	"PMID:10198212,PMID:10856717,PMID:11353404"	"See PMID: 10856717 - flippase activity no detailed data on which compartment ATP hydrolysis occurs, so for the time being assumed to be cytosolic NJ"
R2948	peroxisomal lumped long chain fatty acid oxidation	4	"PMID:11591435,PMID:12814641,PMID:15599942,PMID:1679347,PMID:7487879,PMID:8188243"	"lumped peroxisomal alpha and beta oxidation pristanoyl-CoA -&gt; 4,8 diemthylnonanoyl-CoA (result of compound not known) stoichiometry for O2 is questionable at present no fad in peroxisome - 1st step of beta ox is acyl-co oxidase (not reductase) NJ"
R2954	6-phosphofructo-2-kinase	0		IF
R2959	glucose-6-phosphate isomerase	0	"PMID:19064002,PMID:2241164,PMID:8530082"	
R2961	phosphoglycerate kinase	0		
R2970	Prostaglandin G/H synthase	4	"PMID:14511332,PMID:1907252"	NJ
R2971	Prostaglandin G/H synthase	4	"PMID:14511332,PMID:1907252"	NJ
R2976	heme transport	4	PMID:16143108	NCD
R2987	"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"	4	PMID:11463863	NCD
R2988	"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase, nuclear"	4	"PMID:11463863,PMID:12728269"	NCD
R2989	"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase"	4	PMID:10358929	NCD
R2996	phosphatidylinositol 3-phosphate 4-kinase	4	"PMID:10358929,PMID:9211928,PMID:9367159"	NCD FULLR corresponds to acyl/R groups in texts. NJ changed EC from 2.7.1.149 (pail5p) to 2.7.1.68 (pail4p) - NCD
R2999	"phosphatidylinositol 4,5-bisphosphate 3-kinase"	4	"PMID:12507995,PMID:15780590,PMID:2174051,PMID:7624799,PMID:7713498,PMID:8246984,PMID:9113989"	NCD
R3002	"phosphatidylinositol-4,5-bisphosphate 5-phosphatase"	4	"PMID:10764818,PMID:12915445,PMID:7721860,PMID:7761412"	NCD
R3004	"phosphatidylinositol 4,5-bisphosphate phospholipase C"	4	"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"	NCD
R3006	phosphatidylinositol 4-phosphate 3-kinase	4	"PMID:7624799,PMID:7713498,PMID:8246984,PMID:9113989,PMID:9337861,PMID:9830063,PMID:9878262"	"NCD Notice that contrary to some standards in texts, KEGG, etc, the Rtotal group accounts for the whole fatty acyl CoA (so the CHO only accounts for the core backbone), manner in which Rtotal was produced accounts for O and H balances. Formation of the Rtotal group (rxn flux)accounted for mass balance for CoA NJ changed EC from 2.7.1.149 (pail5p) to 2.7.1.68 (pail4p) - NCD"
R3011	phosphatidylinositol 4-phosphate phospholipase C	4	"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"	NCD
R3014	phosphatidylinositol-5-phosphate 3-kinase	1	PMID:10358929	NCD
R3016	phosphatidylinositol-5-phosphate 4-kinase	4	"PMID:10358929,PMID:9211928,PMID:9367159"	NCD
R3019	phosphatidylinositol 3-kinase	4	"PMID:7624799,PMID:7628435,PMID:7713498,PMID:8246984,PMID:9113989,PMID:9337861,PMID:9830063,PMID:9878262"	NCD
R3022	phosphatidylinositol 4-kinase	4	"PMID:12324459,PMID:164238,PMID:8662589"	NJ
R3026	phosphatidylinositol phospholipase C	4	"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"	NCD
R3035	phospholipase A2	4	"PMID:9272153,PMID:9417066"	phosphatidyl choline degradation NJ
R3078	Peroxidase (multiple substrates)	0	PMID:10464338	"RS/TV (6/3/05) Peroxidases can act on a variety of substrates which are oxidized, not just methanol."
R3089	"L-Proline,2-oxoglutarate:oxygen oxidoreductase (4-hydroxylating) (ER)"	4	"PMID:12714038,PMID:2543975,PMID:3034602"	SAB
R3108	Propenoyl-CoA hydrolase (m)	1	PMID:8824301	SAB made up name because name in KEGG seemed wrong. in vitro assay
R3109	Propenoyl-CoA hydrolase (x)	4	PMID:8188243	SAB made up name because name in KEGG seemed wrong
R3115	phosphatidylserine flippase	4	"PMID:10198212,PMID:10856717,PMID:11353404"	See PMID: 10856717 - flippase activity NJ
R3116	phosphatidylserine flippase	4	"PMID:10198212,PMID:10856717,PMID:11353404"	"See PMID: 10856717 - flippase activity no detailed data on which compartment ATP hydrolysis occurs, so for the time being assumed to be cytosolic NJ"
R3121	carnitine fatty-acyl transferase	4	PMID:1988962	NJ
R3153	pyruvate kinase	0		
R3208	ribonucleoside-diphosphate reductase (ADP)	2	PMID:14729598	
R3209	ribonucleoside-diphosphate reductase (GDP)	2	PMID:14729598	
R3210	ribonucleoside-diphosphate reductase (CDP)	4	PMID:14729598	
R3211	ribonucleoside-diphosphate reductase (UDP)	2	PMID:14729598	
R3223	carnitine fatty-acyl transferase	4	PMID:1988962	NJ
R3227	carnitine fatty-acyl transferase	4	PMID:1988962	NJ
R3231	carnitine fatty-acyl transferase	4	PMID:1988962	NJ
R3237	"beta-galactoside alpha-2,3-sialyltransferase (core 2)"	4	"PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913"	NCD
R3238	"beta-galactoside alpha-2,3-sialyltransferase (complex N-glycan)"	4	PMID:8333853	NCD
R3239	"beta-galactoside alpha-2,3-sialyltransferase"	4	"PMID:10504389,PMID:7901202,PMID:8027041,PMID:8288606,PMID:8920913"	NCD
R3296	"galactose-6-sulfate sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3309	"galactose-6-sulfate sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3312	"galactose-6-sulfate sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3316	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3317	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3318	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3319	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3320	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3321	"N-acetylgalactosamine-6-sulfatase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3374	"sialidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3375	"sialidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3376	"sialidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3377	"sialidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R3378	"Beta-galactoside alpha-2,3-sialyltransferase, Golgi apparatus"	4	PMID:9266697	NJ
R3382	sphingolipid long chain base kinase (sphinganine)	4	PMID:10751414	NCD
R3405	sphingosine kinase 2	4	PMID:10751414	NJ
R3413	superoxide dismutase	4	"PMID:1332049,PMID:3889846"	JLR
R3416	"superoxide dismutase, nuclear"	4	"PMID:1332049,PMID:3889846"	JLR
R3417	"superoxide dismutase, peroxisome"	4	"PMID:1332049,PMID:3889846"	JLR
R3431	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus"	4	PMID:9266697	NJ
R3432	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus"	4	PMID:9266697	NJ
R3433	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, Golgi apparatus"	4	PMID:9266697	NJ
R3434	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	4	PMID:8333853	NJ
R3456	carnitine O-palmitoyltransferase	4		NJ
R3464	"succinate transport, mitochondrial"	4	PMID:14598172	TDV
R3470	"sucrose hydrolyzing enxyme, extracellular"	4	"PMID:1560017,PMID:3143729"	NCD
R3473	"trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (x)"	1		SAB
R3499	carnitine O-palmitoyltransferase	4		NJ
R3504	carnitine O-palmitoyltransferase	4		NJ
R3509	carnitine O-palmitoyltransferase	4		NJ
R3558	carnitine O-palmitoyltransferase	4		NJ
R3588	tetradecanoate (transport)	2	"PMID:10811962,PMID:11161786"	
R3589	carnitine O-palmitoyltransferase	4		NJ
R3683	carnitine O-palmitoyltransferase	4		NJ
R3698	Vitamin D3 uptake	2		"I am not sure how vitamin D3 is taken up  from peripheral cells based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT"
R3701	Very-long-chain-fatty-acid-CoA ligase	2	PMID:10479480	"from uniprot  and lit - see human recon lit refs divalent cation requirement - unclear which one, reaction inhibited in the presence of EDTA (may just be MgATP or MgATP) - see Kelley and Vessey Biochimica et Biophysica Acta (1994) 1209: 51-55 temporarily will have H+ balance reaction NJ"
R3702	Very-long-chain-fatty-acid-CoA ligase	2		"from uniprot  and lit - see human recon lit refs divalent cation requirement - unclear which one, reaction inhibited in the presence of EDTA (may just be MgATP or MgATP) - see Kelley and Vessey Biochimica et Biophysica Acta (1994) 1209: 51-55 temporarily will have H+ balance reaction NJ"
R3703	Very-long-chain-fatty-acid-CoA ligase	4		"from uniprot  and lit - see human recon lit refs divalent cation requirement - unclear which one, reaction inhibited in the presence of EDTA (may just be MgATP or MgATP) - see Kelley and Vessey Biochimica et Biophysica Acta (1994) 1209: 51-55 temporarily will have H+ balance reaction NJ"
R3704	Very-long-chain-fatty-acid-CoA ligase	4		"from uniprot  and lit - see human recon lit refs divalent cation requirement - unclear which one, reaction inhibited in the presence of EDTA (may just be MgATP or MgATP) - see Kelley and Vessey Biochimica et Biophysica Acta (1994) 1209: 51-55 temporarily will have H+ balance reaction NJ"
R3731	D-xylose reversible transport	4	"PMID:10421229,PMID:12750891,PMID:3170580,PMID:8504756,PMID:9230074"	NCD
R3787	AMP:pyrophosphate phosphoribosyltransferase Purine metabolism EC:2.4.2.7	0	"PMID:6778226,PMID:692402"	
R3795	Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42	0	"PMID:16489927,PMID:9866202"	
R3805	GTP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40	0	"PMID:1009117,PMID:7154942"	
R3813	CTP:pyruvate O2-phosphotransferase EC:2.7.1.40	0	"PMID:1009117,PMID:7154942"	
R3818	UTP:pyruvate O2-phosphotransferase EC:2.7.1.40	0	"PMID:1009117,PMID:7154942"	
R3848	dATP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40	0	"PMID:1009117,PMID:7154942"	
R3856	Palmitoyl-CoA:oxygen 2-oxidoreductase Fatty acid metabolism EC:1.3.3.6 EC:1.3.99.3	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R3857	Palmitate:CoA ligase (AMP-forming) Fatty acid metabolism EC:6.2.1.3	0	PMID:8584017	
R3858	citrate hydro-lyase Citrate cycle (TCA cycle) / Glyoxylate and dicarboxylate metabolism EC:4.2.1.4	0	"PMID:15263083,PMID:16511074"	
R3867	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3868	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3869	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3870	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3871	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3872	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3873	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3874	Glycolysis / Glyconeogenesis EC:2.7.1.1	0	"PMID:16906315,PMID:7061426,PMID:7150652,PMID:8717435"	
R3898	"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase Carbon fixation EC:4.1.2.13"	0	"PMID:10214945,PMID:2198022,PMID:4052378,PMID:4084320,PMID:6952783"	
R3902	dATP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40	0	"PMID:1009117,PMID:7154942"	
R3906	EC:1.1.1.42	0	"PMID:10521434,PMID:16489927,PMID:18484410,PMID:9866202"	
R3907	isocitrate hydro-lyase Citrate cycle (TCA cycle) / Glyoxylate and dicarboxylate metabolism EC:4.2.1.3	0	"PMID:15263083,PMID:16511074"	
R3908	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3909	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3910	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3911	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3912	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3913	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3914	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3916	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3917	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3918	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3919	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3921	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21	0	"PMID:1735445,PMID:1988962,PMID:2355017,PMID:6361812,PMID:7892212"	
R3929	2-Deoxyadenosine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Purine metabolism EC:1.17.4.1	0	"PMID:6121703,PMID:8074691"	
R3930	2-Deoxyadenosine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Purine metabolism EC:1.17.4.1	0	"PMID:6121703,PMID:8074691"	
R3931	2-Deoxyadenosine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Purine metabolism EC:1.17.4.1	0	"PMID:6121703,PMID:8074691"	
R3932	2-Deoxyadenosine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Purine metabolism EC:1.17.4.1	0	"PMID:6121703,PMID:8074691"	
R3954	Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39	0	PMID:15230339	
R3955	Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39	0	PMID:15230339	
R3956	Aldehyde:NADP+ oxidoreductase Phenylalanine metabolism EC:1.2.1.5	0	"PMID:17379813,PMID:18621017"	
R3957	Aldehyde:NADP+ oxidoreductase Phenylalanine metabolism EC:1.2.1.5	0	"PMID:17379813,PMID:18621017"	
R3976	Deamino-NAD+ nucleotidohydrolase Nicotinate and nicotinamide metabolism EC:3.6.1.9	0	"PMID:11579996,PMID:11946484"	
R4019	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4020	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4023	"(S)-3-Hydroxyisobutyryl-CoA hydro-lyase Valine, leucine and isoleucine degradation EC:4.2.1.17"	0	"PMID:10671535,PMID:12467702"	
R4028	Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4031	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:6137188,PMID:8962082"	
R4032	"Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.1.3.85"	0		
R4036	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4037	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4038	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4039	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4040	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase; (3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4041	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4042	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4044	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4045	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4049	r0709	0	PMID:10727395	
R4050	"Dodecanoyl-[acyl-carrier protein]: malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85"	0	PMID:7567999	
R4051	dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4052	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4053	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4054	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4055	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4056	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4057	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4058	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4059	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4060	(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4061	(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4063	(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
