Term	Overlap	Adjusted P-value	Odds Ratio	Genes
Oxytocin signaling pathway	2/153	0.387273471	1.661112752	PLA2G4A;PTGS2
Pyrimidine metabolism	1/57	0.410127831	2.236098553	RRM1
Necroptosis	2/162	0.412353431	1.566958599	PLA2G4A;SLC25A4
Long-term depression	1/60	0.420890945	2.122076808	PLA2G4A
Steroid hormone biosynthesis	1/60	0.420890945	2.122076808	CYP7A1
Retinol metabolism	1/67	0.455995778	1.896336786	DGAT1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.476739464	1.762346229	SLC8A1
p53 signaling pathway	1/72	0.476739464	1.762346229	PTEN
Metabolism of xenobiotics by cytochrome P450	1/74	0.484200791	1.713889371	ALDH3B1
Olfactory transduction	4/444	0.508780571	1.137888563	SLC8A3;SLC24A4;SLC8A1;SLC8A2
ECM-receptor interaction	1/82	0.516622242	1.543991249	CD36
Hypertrophic cardiomyopathy (HCM)	1/85	0.527424766	1.488622664	SLC8A1
GABAergic synapse	1/89	0.542021697	1.420670311	GAD1
Dilated cardiomyopathy (DCM)	1/91	0.545325666	1.388959212	SLC8A1
Morphine addiction	1/91	0.545325666	1.388959212	PDE4B
IL-17 signaling pathway	1/93	0.550922778	1.358626857	PTGS2
Ribosome biogenesis in eukaryotes	1/101	0.579304875	1.24943038	EFL1
Cell cycle	1/124	0.654868701	1.014613564	ANAPC11
Oocyte meiosis	1/125	0.655015168	1.006380155	ANAPC11
Vascular smooth muscle contraction	1/132	0.672828719	0.952265919	PLA2G4A
Ubiquitin mediated proteolysis	1/137	0.683899222	0.917023455	ANAPC11
MAPK signaling pathway	2/295	0.697932428	0.849894568	PLA2G4A;RELB
Retrograde endocannabinoid signaling	1/148	0.706644943	0.847929045	PTGS2
Protein processing in endoplasmic reticulum	1/165	0.743124983	0.759377894	P4HB
Neuroactive ligand-receptor interaction	2/338	0.759384064	0.739498029	PLG;F2
NOD-like receptor signaling pathway	1/178	0.763286207	0.703139527	TXN
Transcriptional misregulation in cancer	1/186	0.774974449	0.672459802	SPI1
